Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,EXT3_MUX_DEMUX_SIG_1,GPIO,Digital,Out,High,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PB04,EXT3_MUX_DEMUX_S0,GPIO,Digital,Out,Low,,,NORMAL
6,PB05,EXT3_MUX_DEMUX_S1,GPIO,Digital,Out,Low,,,NORMAL
9,PB06,EXT3_MUX_DEMUX_S2,GPIO,Digital,Out,Low,,,NORMAL
10,PB07,EXT3_MUX_DEMUX_S3,GPIO,Digital,Out,Low,,,NORMAL
11,PB08,,Available,,,,,,NORMAL
12,PB09,EXT1_ATA8510_PWRON_PCINT4_LED1_PB4,GPIO,Digital,In/Out,Low,,,NORMAL
13,PA04,,Available,,,,,,NORMAL
14,PA05,,Available,,,,,,NORMAL
15,PA06,,Available,,,,,,NORMAL
16,PA07,,Available,,,,,,NORMAL
17,PA08,,Available,,,,,,NORMAL
18,PA09,,Available,,,,,,NORMAL
19,PA10,EXT2_GPIO1,GPIO,Digital,Out,High,,,NORMAL
20,PA11,EXT2_GPIO2,GPIO,Digital,Out,Low,,,NORMAL
23,PB10,VCP_UART_TXD,SERCOM4_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
24,PB11,VCP_UART_RXD,SERCOM4_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
25,PB12,EXT1_ATA8510_NPWRON1_PCINT9_EXT_CLK_PC1,GPIO,Digital,In/Out,High,,,NORMAL
26,PB13,,Available,,,,,,NORMAL
27,PB14,EXT1_ATA8510_PB6_IRQ,EIC_EXTINT14,Digital,High Impedance,n/a,Yes,No,NORMAL
28,PB15,,Available,,,,,,NORMAL
29,PA12,,Available,,,,,,NORMAL
30,PA13,EXT1_ATA8510_PCINT0_CLK_OUT_PB0,GPIO,Digital,In/Out,Low,,,NORMAL
31,PA14,,Available,,,,,,NORMAL
32,PA15,LED,LED_AL,Digital,Out,High,,,NORMAL
35,PA16,EXT1_ATA8510_PCINT3_MISO_PB3,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
36,PA17,EXT1_ATA8510_PCINT5_INT1_NSS_PB5,GPIO,Digital,In/Out,High,,,NORMAL
37,PA18,EXT1_ATA8510_PCINT2_MOSI_PB2,SERCOM1_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
38,PA19,EXT1_ATA8510_PCINT1_SCK_PB1,SERCOM1_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
39,PB16,,Available,,,,,,NORMAL
40,PB17,,Available,,,,,,NORMAL
41,PA20,EXT1_ATA8510_NRESET_PCINT8_PC0,GPIO,Digital,In/Out,High,,,NORMAL
42,PA21,,Available,,,,,,NORMAL
43,PA22,EXT1_ATA8510_NPWRON3_PCINT11_TMDO_TxD_PC3,GPIO,Digital,In/Out,High,,,NORMAL
44,PA23,EXT1_ATA8510_NPWRON4_PCINT12_INT0_TMDI_RxD_PC4,GPIO,Digital,In/Out,High,,,NORMAL
45,PA24,,Available,,,,,,NORMAL
46,PA25,,Available,,,,,,NORMAL
49,PB22,,Available,,,,,,NORMAL
50,PB23,,Available,,,,,,NORMAL
51,PA27,EXT3_MUX_DEMUX_SIG_2,GPIO,Digital,Out,High,,,NORMAL
53,PA28,SWITCH,EIC_EXTINT8,Digital,In,n/a,Yes,No,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,,Available,,,,,,NORMAL
60,PB31,,Available,,,,,,NORMAL
61,PB00,,Available,,,,,,NORMAL
62,PB01,,Available,,,,,,NORMAL
63,PB02,,Available,,,,,,NORMAL
64,PB03,,Available,,,,,,NORMAL
